id,venue_name,city,venue_id,toss_won,decision,pom,winner,1st_innings_score,2nd_innings_score,home_team,away_team,season,super_over,points,home_overs,home_score,home_wickets,home_key_batter,home_key_bowler,away_overs,away_score,away_wickets,away_key_batter,away_key_bowler,home_pp_runs_scored,home_middle_runs_scored,home_death_runs_scored,home_pp_wickets_lost,middle_wickets_lost,death_wickets_lost,away_pp_runs_scored,away_middle_runs_scored,away_death_runs_scored,away_pp_wickets_lost,away_middle_wickets_lost,away_death_wickets_lost,better_team
1304059.0,"Wankhede Stadium, Mumbai", Mumbai,58324,RCB,BOWL FIRST,Dinesh Karthik,RCB,169/3,173/6,RR,RCB,2022,False,"Royal Challengers Bangalore 2, Rajasthan Royals 0",20.0,169,3,"Jos Buttler *, Shimron Hetmyer *","Yuzvendra Chahal, Trent Boult",19.1,173,6,"Shahbaz Ahmed , Dinesh Karthik *","Harshal Patel, David Willey",35,68,66,1,1,1,48,77,42,0,0,0,RCB
1304060.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,KKR,BOWL FIRST,Pat Cummins,KKR,161/4,162/5,KKR,MI,2022,False,"Kolkata Knight Riders 2, Mumbai Indians 0",16.0,162,5,"Pat Cummins *, Venkatesh Iyer *","Pat Cummins, Umesh Yadav",20.0,161,4,"Suryakumar Yadav , Tilak Varma *","Murugan Ashwin, Tymal Mills",35,92,35,2,2,2,35,50,76,1,1,1,KKR
1304061.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,LSG,BOWL FIRST,Quinton de Kock,LSG,149/3,155/4,LSG,DC,2022,False,"Lucknow Super Giants 2, Delhi Capitals 0",19.4,155,4,"Quinton de Kock , KL Rahul ","Ravi Bishnoi, Krishnappa Gowtham",20.0,149,3,"Prithvi Shaw , Rishabh Pant *","Kuldeep Yadav, Lalit Yadav",48,63,34,0,0,0,52,47,50,0,0,0,LSG
1304062.0,"Brabourne Stadium, Mumbai", Mumbai,58317,GT,BOWL FIRST,Shubman Gill,GT,189/9,190/4,KXIP,GT,2022,False,"Gujarat Titans 2, Punjab Kings 0",20.0,190,4,"Shubman Gill , Sai Sudharsan ","Rashid Khan, Darshan Nalkande",20.0,190,4,"Shubman Gill , Sai Sudharsan ","Rashid Khan, Darshan Nalkande",53,81,56,1,1,1,53,81,56,1,1,1,GT
1304063.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,SRH,BOWL FIRST,Abhishek Sharma,SRH,154/7,155/2,CSK,SRH,2022,False,"Sunrisers Hyderabad 2, Chennai Super Kings 0",20.0,154,7,"Moeen Ali , Ambati Rayudu ","Mukesh Choudhary, Dwayne Bravo",17.4,155,2,"Abhishek Sharma , Rahul Tripathi *","Washington Sundar, T Natarajan",41,67,42,2,2,2,37,84,23,0,0,0,SRH
1304064.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,RCB,BOWL FIRST,Anuj Rawat,RCB,151/6,152/3,RCB,MI,2022,False,"Royal Challengers Bangalore 2, Mumbai Indians 0",18.3,152,3,"Anuj Rawat , Virat Kohli ","Harshal Patel, Wanindu Hasaranga",20.0,151,6,"Suryakumar Yadav *, Rohit Sharma ","Jaydev Unadkat, Dewald Brevis",30,81,33,0,0,0,49,43,60,0,0,0,RCB
1304065.0,"Brabourne Stadium, Mumbai", Mumbai,58317,KKR,BOWL FIRST,Kuldeep Yadav,DC,215/5,171,KKR,DC,2022,False,"Delhi Capitals 2, Kolkata Knight Riders 0",19.4,171,10,"Shreyas Iyer , Nitish Rana ","Sunil Narine, Andre Russell",20.0,215,5,"David Warner , Prithvi Shaw ","Kuldeep Yadav, Khaleel Ahmed",43,94,29,2,2,2,68,93,54,0,0,0,DC
1304066.0,"Wankhede Stadium, Mumbai", Mumbai,58324,LSG,BOWL FIRST,Yuzvendra Chahal,RR,165/6,162/8,RR,LSG,2022,False,"Rajasthan Royals 2, Lucknow Super Giants 0",20.0,165,6,"Shimron Hetmyer *, Devdutt Padikkal ","Yuzvendra Chahal, Trent Boult",20.0,162,8,"Quinton de Kock , Marcus Stoinis *","Krishnappa Gowtham, Jason Holder",44,48,73,1,1,1,31,66,65,3,3,3,RR
1304067.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,SRH,BOWL FIRST,Kane Williamson,SRH,162/7,168/2,SRH,GT,2022,False,"Sunrisers Hyderabad 2, Gujarat Titans 0",19.1,168,2,"Kane Williamson , Abhishek Sharma ","T Natarajan, Bhuvneshwar Kumar",20.0,162,7,"Hardik Pandya *, Abhinav Manohar ","Hardik Pandya, Rashid Khan",42,74,46,0,0,0,51,67,44,2,2,2,SRH
1304068.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,RCB,BOWL FIRST,Shivam Dube,CSK,216/4,193/9,CSK,RCB,2022,False,"Chennai Super Kings 2, Royal Challengers Bangalore 0",20.0,216,4,"Shivam Dube *, Robin Uthappa ","Maheesh Theekshana, Ravindra Jadeja",20.0,193,9,"Shahbaz Ahmed , Dinesh Karthik ","Wanindu Hasaranga, Josh Hazlewood",35,98,83,1,1,1,42,98,53,3,3,3,CSK
1304069.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,MI,BOWL FIRST,Mayank Agarwal,KXIP,198/5,186/9,MI,KXIP,2022,False,"Punjab Kings 2, Mumbai Indians 0",20.0,186,9,"Dewald Brevis , Suryakumar Yadav ","Basil Thampi, Jasprit Bumrah",20.0,186,9,"Dewald Brevis , Suryakumar Yadav ","Basil Thampi, Jasprit Bumrah",42,104,40,2,2,2,42,104,40,2,2,2,KXIP
1304070.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,RR,BOWL FIRST,Hardik Pandya,GT,192/4,155/9,RR,GT,2022,False,"Gujarat Titans 2, Rajasthan Royals 0",20.0,155,9,"Jos Buttler , Shimron Hetmyer ","Yuzvendra Chahal, Riyan Parag",20.0,192,4,"Hardik Pandya *, Abhinav Manohar ","Lockie Ferguson, Yash Dayal",65,65,25,3,3,3,42,88,62,2,2,2,GT
1304071.0,"Brabourne Stadium, Mumbai", Mumbai,58317,SRH,BOWL FIRST,Rahul Tripathi,SRH,175/8,176/3,SRH,KKR,2022,False,"Sunrisers Hyderabad 2, Kolkata Knight Riders 0",17.5,176,3,"Rahul Tripathi , Aiden Markram *","T Natarajan, Umran Malik",20.0,175,8,"Nitish Rana , Andre Russell *","Andre Russell, Pat Cummins",46,94,18,2,2,2,38,82,56,3,3,3,SRH
1304072.0,"Brabourne Stadium, Mumbai", Mumbai,58317,MI,BOWL FIRST,KL Rahul,LSG,199/4,181/9,MI,LSG,2022,False,"Lucknow Super Giants 2, Mumbai Indians 0",20.0,181,9,"Suryakumar Yadav , Dewald Brevis ","Jaydev Unadkat, Murugan Ashwin",20.0,199,4,"KL Rahul *, Manish Pandey ","Avesh Khan, Marcus Stoinis",57,68,56,2,2,2,57,93,49,1,1,1,LSG
1304073.0,"Wankhede Stadium, Mumbai", Mumbai,58324,DC,BOWL FIRST,Dinesh Karthik,RCB,189/5,173/7,DC,RCB,2022,False,"Royal Challengers Bangalore 2, Delhi Capitals 0",20.0,173,7,"David Warner , Rishabh Pant ","Shardul Thakur, Axar Patel",20.0,189,5,"Dinesh Karthik *, Glenn Maxwell ","Josh Hazlewood, Mohammed Siraj",57,58,58,1,1,1,40,75,74,2,2,2,RCB
1304074.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,SRH,BOWL FIRST,Umran Malik,SRH,151,152/3,KXIP,SRH,2022,False,"Sunrisers Hyderabad 2, Punjab Kings 0",18.5,152,3,"Aiden Markram *, Nicholas Pooran *","Umran Malik, Bhuvneshwar Kumar",18.5,152,3,"Aiden Markram *, Nicholas Pooran *","Umran Malik, Bhuvneshwar Kumar",39,72,28,1,1,1,39,72,28,1,1,1,SRH
1304075.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,GT,BOWL FIRST,David Miller,GT,169/5,170/7,GT,CSK,2022,False,"Gujarat Titans 2, Chennai Super Kings 0",19.5,170,7,"David Miller *, Rashid Khan ","Alzarri Joseph, Mohammed Shami",20.0,169,5,"Ruturaj Gaikwad , Ambati Rayudu ","Dwayne Bravo, Maheesh Theekshana",37,71,49,3,3,3,39,86,44,2,2,2,GT
1304076.0,"Brabourne Stadium, Mumbai", Mumbai,58317,KKR,BOWL FIRST,Yuzvendra Chahal,RR,217/5,210,RR,KKR,2022,False,"Rajasthan Royals 2, Kolkata Knight Riders 0",20.0,217,5,"Jos Buttler , Sanju Samson ","Yuzvendra Chahal, Obed McCoy",19.4,210,10,"Shreyas Iyer , Aaron Finch ","Sunil Narine, Shivam Mavi",60,103,54,0,0,0,57,110,40,1,1,1,RR
1304077.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,LSG,BOWL FIRST,Faf du Plessis,RCB,181/6,163/8,LSG,RCB,2022,False,"Royal Challengers Bangalore 2, Lucknow Super Giants 0",20.0,163,8,"Krunal Pandya , KL Rahul ","Jason Holder, Dushmantha Chameera",20.0,181,6,"Faf du Plessis , Shahbaz Ahmed ","Josh Hazlewood, Harshal Patel",44,73,46,2,2,2,47,83,51,3,3,3,RCB
1304078.0,"Brabourne Stadium, Mumbai", Mumbai,58317,DC,BOWL FIRST,Kuldeep Yadav,DC,115,119/1,DC,KXIP,2022,False,"Delhi Capitals 2, Punjab Kings 0",10.3,119,1,"David Warner *, Prithvi Shaw ","Axar Patel, Khaleel Ahmed",10.3,119,1,"David Warner *, Prithvi Shaw ","Axar Patel, Khaleel Ahmed",81,32,0,0,0,0,81,32,0,0,0,0,KXIP
1304079.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,CSK,BOWL FIRST,Mukesh Choudhary,CSK,155/7,156/7,MI,CSK,2022,False,"Chennai Super Kings 2, Mumbai Indians 0",20.0,155,7,"Tilak Varma *, Suryakumar Yadav ","Daniel Sams, Jaydev Unadkat",20.0,156,7,"Ambati Rayudu , Robin Uthappa ","Mukesh Choudhary, Dwayne Bravo",42,58,55,3,3,3,46,57,53,2,2,2,CSK
1304080.0,"Wankhede Stadium, Mumbai", Mumbai,58324,DC,BOWL FIRST,Jos Buttler,RR,222/2,207/8,DC,RR,2022,False,"Rajasthan Royals 2, Delhi Capitals 0",20.0,207,8,"Rishabh Pant , Lalit Yadav ","Mustafizur Rahman, Khaleel Ahmed",20.0,222,2,"Jos Buttler , Devdutt Padikkal ","Prasidh Krishna, Ravichandran Ashwin",55,94,58,2,2,2,44,111,67,0,0,0,RR
1304081.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,GT,BAT FIRST,Rashid Khan,GT,156/9,148/8,KKR,GT,2022,False,"Gujarat Titans 2, Kolkata Knight Riders 0",20.0,148,8,"Andre Russell , Rinku Singh ","Andre Russell, Tim Southee",20.0,156,9,"Hardik Pandya , David Miller ","Mohammed Shami, Rashid Khan",34,73,41,3,3,3,47,80,29,1,1,1,GT
1304083.0,"Wankhede Stadium, Mumbai", Mumbai,58324,MI,BOWL FIRST,KL Rahul,LSG,168/6,132/8,LSG,MI,2022,False,"Lucknow Super Giants 2, Mumbai Indians 0",20.0,168,6,"KL Rahul *, Manish Pandey ","Krunal Pandya, Ayush Badoni",20.0,132,8,"Rohit Sharma , Tilak Varma ","Kieron Pollard, Riley Meredith",32,84,52,1,1,1,43,55,34,0,0,0,LSG
1304084.0,"Wankhede Stadium, Mumbai", Mumbai,58324,CSK,BOWL FIRST,Shikhar Dhawan,KXIP,187/4,176/6,KXIP,CSK,2022,False,"Punjab Kings 2, Chennai Super Kings 0",20.0,176,6,"Ambati Rayudu , Ruturaj Gaikwad ","Dwayne Bravo, Maheesh Theekshana",20.0,176,6,"Ambati Rayudu , Ruturaj Gaikwad ","Dwayne Bravo, Maheesh Theekshana",32,86,58,2,2,2,32,86,58,2,2,2,CSK
1304085.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,RCB,BOWL FIRST,Riyan Parag,RR,144/8,115,RCB,RR,2022,False,"Rajasthan Royals 2, Royal Challengers Bangalore 0",19.3,115,10,"Faf du Plessis , Wanindu Hasaranga ","Josh Hazlewood, Wanindu Hasaranga",20.0,144,8,"Riyan Parag *, Sanju Samson ","Kuldeep Sen, Ravichandran Ashwin",37,53,25,1,1,1,43,57,44,3,3,3,RR
1304086.0,"Wankhede Stadium, Mumbai", Mumbai,58324,GT,BOWL FIRST,Umran Malik,GT,195/6,199/5,GT,SRH,2022,False,"Gujarat Titans 2, Sunrisers Hyderabad 0",20.0,199,5,"Wriddhiman Saha , Rahul Tewatia *","Mohammed Shami, Yash Dayal",20.0,195,6,"Abhishek Sharma , Aiden Markram ","Umran Malik, Bhuvneshwar Kumar",59,76,64,0,0,0,53,87,55,2,2,2,GT
1304087.0,"Wankhede Stadium, Mumbai", Mumbai,58324,DC,BOWL FIRST,Kuldeep Yadav,DC,146/9,150/6,DC,KKR,2022,False,"Delhi Capitals 2, Kolkata Knight Riders 0",19.0,150,6,"David Warner , Rovman Powell *","Kuldeep Yadav, Mustafizur Rahman",20.0,146,9,"Nitish Rana , Shreyas Iyer ","Umesh Yadav, Sunil Narine",47,66,37,2,2,2,29,60,57,2,2,2,DC
1304088.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,KXIP,BOWL FIRST,Krunal Pandya,LSG,153/8,133/8,KXIP,LSG,2022,False,"Lucknow Super Giants 2, Punjab Kings 0",20.0,133,8,"Jonny Bairstow , Mayank Agarwal ","Kagiso Rabada, Rahul Chahar",20.0,153,8,"Quinton de Kock , Deepak Hooda ","Mohsin Khan, Krunal Pandya",46,57,30,1,1,1,39,70,44,1,1,1,LSG
1304089.0,"Brabourne Stadium, Mumbai", Mumbai,58317,RCB,BAT FIRST,Rahul Tewatia,GT,170/6,174/4,GT,RCB,2022,False,"Gujarat Titans 2, Royal Challengers Bangalore 0",19.3,174,4,"Rahul Tewatia *, David Miller *","Pradeep Sangwan, Rashid Khan",20.0,170,6,"Virat Kohli , Rajat Patidar ","Wanindu Hasaranga, Shahbaz Ahmed",46,67,51,0,0,0,43,74,53,1,1,1,GT
1304090.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,MI,BOWL FIRST,Suryakumar Yadav,MI,158/6,161/5,RR,MI,2022,False,"Mumbai Indians 2, Rajasthan Royals 0",20.0,158,6,"Jos Buttler , Ravichandran Ashwin ","Ravichandran Ashwin, Prasidh Krishna",19.2,161,5,"Suryakumar Yadav , Tilak Varma ","Riley Meredith, Hrithik Shokeen",40,62,56,1,1,1,41,81,33,2,2,2,MI
1304091.0,"Wankhede Stadium, Mumbai", Mumbai,58324,LSG,BAT FIRST,Mohsin Khan,LSG,195/3,189/7,DC,LSG,2022,False,"Lucknow Super Giants 2, Delhi Capitals 0",20.0,189,7,"Rishabh Pant , Axar Patel *","Shardul Thakur, Axar Patel",20.0,195,3,"KL Rahul , Deepak Hooda ","Mohsin Khan, Ravi Bishnoi",66,69,54,2,2,2,57,88,50,1,1,1,LSG
1304092.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,SRH,BOWL FIRST,Ruturaj Gaikwad,CSK,202/2,189/6,SRH,CSK,2022,False,"Chennai Super Kings 2, Sunrisers Hyderabad 0",20.0,189,6,"Nicholas Pooran *, Kane Williamson ","T Natarajan, Bhuvneshwar Kumar",20.0,202,2,"Ruturaj Gaikwad , Devon Conway *","Mukesh Choudhary, Dwaine Pretorius",58,73,58,2,2,2,40,113,49,0,0,0,CSK
1304093.0,"Wankhede Stadium, Mumbai", Mumbai,58324,KKR,BOWL FIRST,Rinku Singh,KKR,152/5,158/3,KKR,RR,2022,False,"Kolkata Knight Riders 2, Rajasthan Royals 0",19.1,158,3,"Nitish Rana *, Rinku Singh *","Tim Southee, Umesh Yadav",20.0,152,5,"Sanju Samson , Shimron Hetmyer *","Trent Boult, Kuldeep Sen",32,75,45,2,2,2,38,67,47,1,1,1,KKR
1304094.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,GT,BAT FIRST,Kagiso Rabada,KXIP,143/8,145/2,GT,KXIP,2022,False,"Punjab Kings 2, Gujarat Titans 0",20.0,143,8,"Sai Sudharsan *, Wriddhiman Saha ","Lockie Ferguson, Mohammed Shami",16.0,145,2,"Shikhar Dhawan *, Bhanuka Rajapaksa ","Kagiso Rabada, Liam Livingstone",42,56,45,2,2,2,43,74,28,1,1,1,KXIP
1304095.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,CSK,BOWL FIRST,Harshal Patel,RCB,173/8,160/8,RCB,CSK,2022,False,"Royal Challengers Bangalore 2, Chennai Super Kings 0",20.0,173,8,"Mahipal Lomror , Faf du Plessis ","Harshal Patel, Glenn Maxwell",20.0,160,8,"Devon Conway , Moeen Ali ","Maheesh Theekshana, Moeen Ali",57,66,50,0,0,0,51,67,42,0,0,0,RCB
1304096.0,"Brabourne Stadium, Mumbai", Mumbai,58317,SRH,BOWL FIRST,David Warner,DC,207/3,186/8,DC,SRH,2022,False,"Delhi Capitals 2, Sunrisers Hyderabad 0",20.0,207,3,"David Warner *, Rovman Powell *","Khaleel Ahmed, Shardul Thakur",20.0,186,8,"Nicholas Pooran , Aiden Markram ","Bhuvneshwar Kumar, Shreyas Gopal",50,87,70,2,2,2,35,99,52,2,2,2,DC
1304097.0,"Brabourne Stadium, Mumbai", Mumbai,58317,GT,BOWL FIRST,Tim David,MI,177/6,172/5,GT,MI,2022,False,"Mumbai Indians 2, Gujarat Titans 0",20.0,172,5,"Wriddhiman Saha , Shubman Gill ","Rashid Khan, Pradeep Sangwan",20.0,177,6,"Ishan Kishan , Tim David *","Murugan Ashwin, Kieron Pollard",54,76,42,0,0,0,63,57,57,0,0,0,MI
1304098.0,"Wankhede Stadium, Mumbai", Mumbai,58324,KXIP,BAT FIRST,Yashasvi Jaiswal,RR,189/5,190/4,KXIP,RR,2022,False,"Rajasthan Royals 2, Punjab Kings 0",19.4,190,4,"Yashasvi Jaiswal , Shimron Hetmyer *","Yuzvendra Chahal, Ravichandran Ashwin",19.4,190,4,"Yashasvi Jaiswal , Shimron Hetmyer *","Yuzvendra Chahal, Ravichandran Ashwin",67,76,39,1,1,1,67,76,39,1,1,1,RR
1304099.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,KKR,BOWL FIRST,Avesh Khan,LSG,176/7,101,LSG,KKR,2022,False,"Lucknow Super Giants 2, Kolkata Knight Riders 0",20.0,176,7,"Quinton de Kock , Deepak Hooda ","Avesh Khan, Jason Holder",14.3,101,10,"Andre Russell , Sunil Narine ","Andre Russell, Sunil Narine",66,57,51,1,1,1,25,74,0,3,3,3,LSG
1304100.0,"Wankhede Stadium, Mumbai", Mumbai,58324,RCB,BAT FIRST,Wanindu Hasaranga,RCB,192/3,125,SRH,RCB,2022,False,"Royal Challengers Bangalore 2, Sunrisers Hyderabad 0",19.2,125,10,"Rahul Tripathi , Aiden Markram ","Jagadeesha Suchith, Kartik Tyagi",20.0,192,3,"Faf du Plessis *, Rajat Patidar ","Wanindu Hasaranga, Josh Hazlewood",39,72,13,2,2,2,47,78,67,1,1,1,RCB
1304101.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,DC,BOWL FIRST,Devon Conway,CSK,208/6,117,CSK,DC,2022,False,"Chennai Super Kings 2, Delhi Capitals 0",20.0,208,6,"Devon Conway , Ruturaj Gaikwad ","Moeen Ali, Simarjeet Singh",17.4,117,10,"Mitchell Marsh , Shardul Thakur ","Anrich Nortje, Khaleel Ahmed",57,91,59,0,0,0,59,40,10,2,2,2,CSK
1304102.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,MI,BOWL FIRST,Jasprit Bumrah,KKR,165/9,113,MI,KKR,2022,False,"Kolkata Knight Riders 2, Mumbai Indians 0",17.3,113,10,"Ishan Kishan , Kieron Pollard ","Jasprit Bumrah, Kumar Kartikeya",20.0,165,9,"Venkatesh Iyer , Nitish Rana ","Pat Cummins, Andre Russell",37,65,10,2,2,2,64,76,25,1,1,1,KKR
1304103.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,GT,BAT FIRST,Shubman Gill,GT,144/4,82,LSG,GT,2022,False,"Gujarat Titans 2, Lucknow Super Giants 0",13.5,82,10,"Deepak Hooda , Avesh Khan ","Avesh Khan, Mohsin Khan",20.0,144,4,"Shubman Gill *, David Miller ","Rashid Khan, Ravisrinivasan Sai Kishore",37,33,0,3,3,3,35,64,41,2,2,2,LSG
1304104.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,DC,BOWL FIRST,Mitchell Marsh,DC,160/6,161/2,RR,DC,2022,False,"Delhi Capitals 2, Rajasthan Royals 0",20.0,160,6,"Ravichandran Ashwin , Devdutt Padikkal ","Trent Boult, Yuzvendra Chahal",18.1,161,2,"Mitchell Marsh , David Warner *","Chetan Sakariya, Mitchell Marsh",43,73,41,1,1,1,38,76,44,1,1,1,DC
1304106.0,"Brabourne Stadium, Mumbai", Mumbai,58317,RCB,BOWL FIRST,Jonny Bairstow,KXIP,209/9,155/9,RCB,KXIP,2022,False,"Punjab Kings 2, Royal Challengers Bangalore 0",20.0,155,9,"Glenn Maxwell , Rajat Patidar ","Harshal Patel, Wanindu Hasaranga",20.0,155,9,"Glenn Maxwell , Rajat Patidar ","Harshal Patel, Wanindu Hasaranga",44,76,35,3,3,3,44,76,35,3,3,3,KXIP
1304107.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,KKR,BAT FIRST,Andre Russell,KKR,177/6,123/8,KKR,SRH,2022,False,"Kolkata Knight Riders 2, Sunrisers Hyderabad 0",20.0,177,6,"Andre Russell *, Sam Billings ","Andre Russell, Tim Southee",20.0,123,8,"Abhishek Sharma , Aiden Markram ","Umran Malik, Bhuvneshwar Kumar",55,64,58,1,1,1,31,69,23,1,1,1,KKR
